body,sender,recipient,valence
I never receive clear instructions for my tasks.,martinbruce,brendahunter,2
Updates from management are inconsistent and confusing.,gregbailey,william59,2
I often misunderstand what's expected due to vague emails.,dnoble,shawncarson,2
Important information is never shared on time.,omitchell,kennedycassandra,5
My queries go unanswered,huffcharles,schang,3
Meetings are held without clear agendas,mhall,khenry,3
During changes,kbartlett,taylorthompson,1
Our team goals are never properly communicated.,pjacobs,yphillips,5
Feedback on my performance is hardly provided.,ilewis,lawrence37,1
My job responsibilities are unclear,frivers,jason15,1
Management seems to ignore our suggestions for improvement.,vkelly,zbailey,2
Too much jargon is used in company communications.,anna90,tyler59,3
Updates about company happenings are rarely shared.,hamiltonkathy,deborahmartinez,1
Decisions are made without transparency or explanation.,clarknicholas,youngamber,1
It's nearly impossible to reach higher-ups for communication.,rebecca64,juan09,3
Different supervisors send mixed messages.,megan51,alexisjohnson,4
Sometimes,solomonrussell,mitchellcraig,2
My concerns are often brushed off or not addressed.,bgarrett,angelamiller,1
Changes are introduced without proper explanation.,jeffstanley,sarah79,3
Communication tools provided are inefficient.,zwalters,oramsey,1
Some team members are unresponsive to communication.,chris00,yolanda45,5
Miscommunication is common in our remote team.,ibishop,mwright,5
Rumors spread quickly due to lack of communication.,xharmon,cgibson,3
Instructions for tasks are often incomplete.,johnny34,kbrooks,2
We're bombarded with irrelevant information.,lacey67,juan36,2
We have inconsistent channels for communication.,eroberson,omitchell,1
Important decisions are made without input from us.,sheila28,bryanwhite,1
Miscommunication leads to errors that impact our work.,jordanwilliams,delacruzbernard,1
Schedule changes are often communicated at the last minute.,kellyfrank,tammy93,1
Our team's communication feels disorganized.,martinezkristin,vmora,3
Emails lack proper context,anneharrison,kingjessica,3
We're never offered proper training on effective communication.,georgegutierrez,nicolevaughn,5
Feedback provided is often ignored or disregarded.,skeller,kathleen69,1
Managers take a long time to respond to my queries.,brianshepherd,grantcohen,3
My efforts go unrecognized or unappreciated.,breanna84,jgomez,3
There's no way to share feedback anonymously.,patriciamedina,rgriffith,2
Team meetings are unproductive and lack direction.,katherine85,shahhayden,2
Leaders from different departments give conflicting directions.,james65,uhart,1
Too much information is shared in a one-way manner.,cherylbridges,jonathan47,2
Project timelines are not consistently updated.,carolinevaldez,xhill,1
Communication apps are not used effectively.,grantcohen,harry20,3
My preferred communication methods are ignored.,barryangela,erin27,1
Communication breakdowns frequently happen in cross-functional teams.,morrisdawn,selenajones,2
Language barriers are not taken into consideration.,teresa01,zdelgado,1
During crises,kimberly73,heatherlowe,5
My expectations for projects are often unclear.,loriwalsh,emiller,2
I sometimes misinterpret instructions,johnsonbruce,josephwhite,2
My concerns raised in meetings are often left unaddressed.,osbornefelicia,sbaker,2
Customer complaints arise due to miscommunication.,spenceholly,jennifercarr,1
Different departments have communication gaps.,jennifer26,rodriguezpeter,1
Frontline employee feedback is ignored by management.,johnbrown,paul48,5
Leaders don't actively engage in team discussions.,harry20,brianhoward,2
Email threads become confusing and hard to follow.,vaughnjesse,johnnyking,3
Company achievements are not shared with us.,bthompson,collinlong,1
Updates on important matters are not provided.,hsmith,robert18,1
Rumors spread because management doesn't address them.,stanleyrobin,anneharrison,2
My input as a remote employee is not considered.,ashley14,emiller,3
Changes in company policies are communicated poorly.,smithjason,bryanwhite,1
Meetings often lack clear outcomes or actions.,daniel22,zbailey,2
Direction shifts without proper explanation.,clarkchristie,jacqueline17,3
Project priorities are not clearly communicated.,lucasrobyn,qjohnson,2
I receive too many emails,danny69,jeremybrown,2
Avenues for open dialogue are lacking.,john15,bkelly,2
New initiatives are introduced without context.,heatherwilliams,adam42,3
Milestones for projects are not updated regularly.,ravenlawson,jamesneal,2
During office closures,klinelaura,whitekristin,5
Managers don't seek input before making decisions.,zhorne,brandon13,1
Suggestions for improving meetings are ignored.,josephwhite,gmunoz,2
Handling heavy workload often leads to communication gaps.,millerlarry,morenothomas,3
Remote work communication expectations are not defined.,hnicholson,shane27,5
New initiatives are introduced without explanation.,austin67,hensonvictoria,3
Changes in company policies are not well-explained.,fhowell,williamsheidi,2
No clear process for reporting communication issues.,nevans,burgessfrank,1
My concerns raised in team meetings are disregarded.,lori06,sandraaustin,1
Updates about market trends are not shared.,vanessa14,ufoley,2
Management communication lacks consistency.,andrewdunn,sandrapratt,2
Reasoning behind decisions is not communicated.,osmith,robert18,1
Miscommunication often occurs in project requirements.,scottbennett,grobinson,2
Best practices are not shared consistently.,hodgewilliam,mary79,1
We rely too much on email for communication.,margaret27,bradley15,3
Flexible work arrangements are not respected.,gomezrichard,juan36,1
Inconsistent communication from management affects my performance.,lisa92,dawn91,2
Feedback from surveys seems to be disregarded.,angellopez,johnsonkim,2
Customer feedback is not shared with us.,kenneth19,gregoryschmidt,2
Urgent issues take too long to receive a response.,scottvelasquez,jacob85,2
Cultural differences affecting communication are not addressed.,sean49,joshua99,2
Communication tools are not used effectively.,jlarson,ofrye,5
Company values are not communicated adequately.,lozanojeffrey,michelle87,2
Updates on company performance are lacking.,alexisjohnson,rbenitez,2
Cross-cultural teams face communication challenges.,bgray,parkerandres,5
Leaders don't actively participate in discussions.,jmaldonado,stephen37,2
Clear instructions for new initiatives are missing.,matthewmartin,hcline,2
Project milestones are not regularly communicated.,armstrongjonathan,angelareed,2
During emergencies,collinskevin,hilljimmy,2
No avenues for addressing communication issues are available.,murphymallory,perrynathan,1
No provisions for managing peaks in communication volume.,mary70,christopher93,3
Team discussions lack engagement from managers.,klinelaura,paul48,1
Communication tools lack proper organization features.,vazquezgrant,linda22,3
No support for addressing stress caused by communication issues.,nathanyoung,vincentbenjamin,5
Leadership does not actively encourage open dialogue.,tanyaperry,salazarjessica,2
My workload is overwhelming,victoriamccormick,vbarnett,3
I'm constantly working overtime without compensation.,gregoryjohnston,myerssally,1
Deadlines are too tight,bthomas,kristen90,2
I don't have the resources needed to complete tasks.,morantiffany,troyclayton,2
Pressure to meet targets is affecting my well-being.,jillian46,dcarpenter,2
I'm not getting enough time for breaks.,lori06,annajoseph,1
Shifts are irregular and unpredictable,davidsalazar,sanchezjustin,2
I have too many responsibilities without proper support.,foxwilliam,zlowery,3
Last-minute changes to projects are causing stress.,malexander,stephen37,5
Vacations are disrupted by work expectations.,pjackson,angela12,5
There's not enough staff to handle the workload.,justinbradley,kennedycassandra,2
My work-life balance is completely out of sync.,karlajohnson,aclark,2
Micromanagement is making the workload worse.,swebb,catherineanderson,1
Performance expectations are unrealistically high.,odavis,hermanmindy,5
Overtime isn't recognized or rewarded.,ipatel,christopherspencer,3
I'm not trained properly for the tasks assigned.,umorrison,haleashley,2
I fear losing my job due to the workload.,dwhite,jacktorres,3
